epoch,loss,val_loss,val_x_logits_loss,val_x_logits_mean_absolute_error,val_x_logits_mean_squared_error,val_x_logits_psnr,val_x_logits_sharpdiff,val_x_logits_ssim,val_x_logits_total_variation,val_x_logpdf_loss,val_z_latents_loss,x_logits_loss,x_logits_mean_absolute_error,x_logits_mean_squared_error,x_logits_psnr,x_logits_sharpdiff,x_logits_ssim,x_logits_total_variation,x_logpdf_loss,z_latents_loss
6,1023.4028239135743,16108.964034179688,16102.927,0.20653877,0.2003167,7.053157,11.737963,4.9468916e-05,6944.092,-1.5519919,2.4591787,1022.01447,0.16994299,0.08469244,10.749086,4.450622,-0.005018494,45384.81,-1.5121472,2.7873664
7,1021.041018737793,7589.034583007812,7581.945,0.10121343,0.09133525,10.588382,11.441841,4.6448386e-06,7687.2563,-1.5380572,2.565672,1019.52936,0.1696829,0.08461837,10.753167,4.450045,-0.005186043,45380.254,-1.5228584,2.9141626
8,1018.4051217651368,1307.457868347168,1306.1624,0.09035733,0.06003038,12.580376,14.360094,-0.00074884476,2962.2053,-1.5441551,2.6227958,1016.7668,0.16929919,0.08446191,10.760445,4.4476156,-0.0052173724,45406.0,-1.5330001,3.0446105
9,1017.0673905029297,7942.915081542968,7939.042,0.14191511,0.13090654,8.984297,12.304547,9.2232796e-05,5860.617,-1.5465739,2.7324848,1015.3219,0.16909584,0.08438161,10.764538,4.4456716,-0.005211385,45427.598,-1.5433488,3.1575408
10,1014.4847625732422,6618.001544677734,6613.0596,0.04691961,0.044886496,13.9585905,15.711929,3.0006368e-05,1519.1296,-1.5613521,2.8063393,1012.63336,0.16875544,0.08424184,10.771778,4.4448094,-0.005245551,45435.57,-1.5531477,3.267152
11,1012.2315873413086,7497.738162597656,7494.0586,0.14344312,0.13195562,8.94086,12.465055,9.5574534e-05,5589.7056,-1.547756,2.9169955,1010.2767,0.16847171,0.08411421,10.777526,4.444603,-0.005324367,45433.004,-1.5655057,3.3790126
12,1011.2390779418945,7536.452407226562,7532.572,0.15349266,0.14284138,8.572064,11.975273,0.00012018471,6479.0513,-1.5701789,2.9737525,1009.1709,0.1683312,0.084038846,10.781496,4.440752,-0.0053490093,45472.188,-1.5716908,3.4940107
13,1010.3400391235351,7824.118408203125,7819.3037,0.12454388,0.111638874,9.6463585,10.556331,0.00010819778,9647.788,-1.5807518,3.0435822,1008.16254,0.16822661,0.083983324,10.784468,4.4414825,-0.00534858,45463.207,-1.5799214,3.6071205
14,1008.7065564575196,9995.720852539063,9990.591,0.16532502,0.15759267,8.133671,12.76215,8.792127e-05,5078.95,-1.5709784,3.1531699,1006.4131,0.16796306,0.083871946,10.790264,4.4402742,-0.005416951,45475.555,-1.5921464,3.731797
15,1007.7915419921875,5606.303506103515,5602.248,0.07636449,0.064983256,12.19541,12.623642,5.5428492e-05,5354.339,-1.6180199,3.271477,1005.38214,0.16784778,0.08381966,10.792784,4.4384656,-0.0054098372,45493.234,-1.5995427,3.8522081
16,1004.957481628418,10307.516615234375,10301.776,0.19797565,0.18215628,7.465865,10.3046255,8.593343e-05,10391.301,-1.6150801,3.3221393,1002.4479,0.16744888,0.08362064,10.802654,4.435663,-0.005428659,45524.07,-1.6099823,3.9585135
17,1005.3873284301758,5747.012861328125,5743.3213,0.13810533,0.12528366,9.133155,12.008227,0.00016496553,6342.11,-1.5938524,3.4075263,1002.77936,0.16747373,0.08365332,10.801329,4.4356484,-0.0053929836,45521.332,-1.6166126,4.060334
18,1003.7633047485351,6606.114593261719,6602.5815,0.20105855,0.17307073,7.681105,9.876229,0.0001401205,11562.409,-1.6959192,3.5852878,1001.0268,0.16733979,0.083556324,10.805987,4.436537,-0.005521207,45508.68,-1.6251231,4.1935453
19,1003.2487008666992,1537.9910662841796,1535.7308,0.09109622,0.06435842,12.230076,14.444051,6.321431e-05,2796.3315,-1.6703658,3.6226475,1000.40985,0.16718401,0.08350426,10.808687,4.4345126,-0.005474206,45534.06,-1.6347432,4.3030453
20,1000.1995029907226,3092.224585571289,3089.1797,0.05092611,0.04567251,13.916165,16.02194,0.00016402415,1349.3569,-1.6544074,3.7088816,997.2558,0.1668499,0.083304614,10.818882,4.4340124,-0.005513931,45537.96,-1.642455,4.4123116
21,999.5872399291992,858.1803710327148,855.78406,0.07354617,0.043423012,14.097056,16.026758,-0.003050405,1339.8584,-1.633462,3.8833945,996.5461,0.16669625,0.08327701,10.820409,4.432446,-0.005535923,45551.395,-1.6502717,4.513497
0
